offshore_f,73.6318
Offshore_g,47.0318
Onshore,34.5477
PV,9.226193333
river,14.85
lake,11.375
nuclear,97.5
ngas,0
methanization,37
pyrogaseification,225
PHS,7.5
Battery,1.96
gastank,0
ITES,0
CTES,0
methanation,59.25
electrolysis,6.75
ocgt,16.5
h2_ocgt,20
ccgt,21.25
ccgt-ccs,32
hpc,24.5
hpd,36.75
resistive,2
boilerd,3.5
boilerc,0.945
EV_heavy,4
EV_light,4
EV_bus,4
EV_train,4
ICE_heavy,0
ICE_light,0
ICE_bus,0
heat-net,2.2
